127.0.0.1 - - [19/Feb/2025:10:10:01 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [19/Feb/2025:10:10:09 +0900] "GET /plan_and_go_Prj/board/main.do HTTP/1.1" 200 91384
0:0:0:0:0:0:0:1 - - [19/Feb/2025:10:10:09 +0900] "GET /plan_and_go_Prj/resources/plan_and_go_image/region_image/%EA%B0%80%ED%8F%89_%EB%8C%80%ED%91%9C%EC%9D%B4%EB%AF%B8%EC%A7%80.jpg HTTP/1.1" 404 948
0:0:0:0:0:0:0:1 - - [19/Feb/2025:10:10:09 +0900] "GET /plan_and_go_Prj/resources/image/plan_and_go_logo.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Feb/2025:10:10:09 +0900] "GET /plan_and_go_Prj/resources/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Feb/2025:10:10:09 +0900] "GET /plan_and_go_Prj/resources/plan_and_go_image/region_image/%EA%B0%95%EB%A6%89_%EB%8C%80%ED%91%9C%EC%9D%B4%EB%AF%B8%EC%A7%80.jpg HTTP/1.1" 404 948
0:0:0:0:0:0:0:1 - - [19/Feb/2025:10:10:09 +0900] "GET /plan_and_go_Prj/resources/plan_and_go_image/region_image/%EA%B1%B0%EC%A0%9C_%EB%8C%80%ED%91%9C%EC%9D%B4%EB%AF%B8%EC%A7%80.jpg HTTP/1.1" 404 948
0:0:0:0:0:0:0:1 - - [19/Feb/2025:10:10:09 +0900] "GET /plan_and_go_Prj/resources/plan_and_go_image/region_image/%EA%B2%BD%EC%A3%BC_%EB%8C%80%ED%91%9C%EC%9D%B4%EB%AF%B8%EC%A7%80.jpg HTTP/1.1" 404 948
0:0:0:0:0:0:0:1 - - [19/Feb/2025:10:10:09 +0900] "GET /plan_and_go_Prj/resources/plan_and_go_image/region_image/%EA%B3%84%EB%A3%A1_%EB%8C%80%ED%91%9C%EC%9D%B4%EB%AF%B8%EC%A7%80.jpg HTTP/1.1" 404 948
0:0:0:0:0:0:0:1 - - [19/Feb/2025:10:10:09 +0900] "GET /plan_and_go_Prj/resources/plan_and_go_image/region_image/%EA%B3%A0%EB%A0%B9_%EB%8C%80%ED%91%9C%EC%9D%B4%EB%AF%B8%EC%A7%80.jpg HTTP/1.1" 404 948
0:0:0:0:0:0:0:1 - - [19/Feb/2025:10:10:09 +0900] "GET /plan_and_go_Prj/resources/plan_and_go_image/region_image/%EA%B3%A0%EC%96%91_%EB%8C%80%ED%91%9C%EC%9D%B4%EB%AF%B8%EC%A7%80.jpg HTTP/1.1" 404 948
